Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2020-01-01T05:00:00Z,CNHI,11.17,453,Market On Open,Filled,5060.01, 
2020-01-01T05:00:00Z,TOL,39.68,126,Market On Open,Filled,4999.68, 
2020-01-01T05:00:00Z,ADS,113.46,44,Market On Open,Filled,4992.24, 
2020-01-01T05:00:00Z,CLNY,4.76,1051,Market On Open,Filled,5002.76, 
2020-01-01T05:00:00Z,TMHC,21.925,228,Market On Open,Filled,4998.9, 
2020-01-01T05:00:00Z,TPH,15.7,320,Market On Open,Filled,5024, 
2020-01-01T05:00:00Z,CLNC,13.23,378,Market On Open,Filled,5000.94, 
2020-01-01T05:00:00Z,COOP,12.54,398,Market On Open,Filled,4990.92, 
2020-01-01T05:00:00Z,MHO,39.58,126,Market On Open,Filled,4987.08, 
2020-01-01T05:00:00Z,INTL,48.93,102,Market On Open,Filled,4990.86, 
2020-01-01T05:00:00Z,CCS,27.45,182,Market On Open,Filled,4995.9, 
2020-01-01T05:00:00Z,TPC,13.01,387,Market On Open,Filled,5034.87, 
2020-01-01T05:00:00Z,VHI,1.9,2666,Market On Open,Filled,5065.4, 
2020-01-01T05:00:00Z,CYD,13.3,374,Market On Open,Filled,4974.2, 
2020-01-01T05:00:00Z,FPH,6.98,717,Market On Open,Filled,5004.66, 
2020-01-01T05:00:00Z,UNFI,8.84,569,Market On Open,Filled,5029.96, 
2020-01-01T05:00:00Z,RYI,12.04,421,Market On Open,Filled,5068.84, 
2020-01-01T05:00:00Z,BZH,14.21,352,Market On Open,Filled,5001.92, 
2020-01-01T05:00:00Z,CONN,12.43,402,Market On Open,Filled,4996.86, 
2020-01-01T05:00:00Z,CYH,2.95,1719,Market On Open,Filled,5071.05, 
2020-02-01T05:00:00Z,MHO,44.3,-126,Market On Open,Filled,-5581.8,Liquidated 
2020-02-01T05:00:00Z,TMHC,26.36,-228,Market On Open,Filled,-6010.08,Liquidated 
2020-02-01T05:00:00Z,CNHI,9.48,72,Market On Open,Filled,682.56, 
2020-02-01T05:00:00Z,TOL,44.44,-15,Market On Open,Filled,-666.6, 
2020-02-01T05:00:00Z,ADS,103.44,4,Market On Open,Filled,413.76, 
2020-02-01T05:00:00Z,TPH,16.3,-16,Market On Open,Filled,-260.8, 
2020-02-01T05:00:00Z,CLNC,12.46,19,Market On Open,Filled,236.74, 
2020-02-01T05:00:00Z,CCS,29.82,-16,Market On Open,Filled,-477.12, 
2020-02-01T05:00:00Z,VHI,1.68,313,Market On Open,Filled,525.84, 
2020-02-01T05:00:00Z,TPC,11.23,52,Market On Open,Filled,583.96, 
2020-02-01T05:00:00Z,FPH,8.15,-108,Market On Open,Filled,-880.2, 
2020-02-01T05:00:00Z,CYH,4.33,-567,Market On Open,Filled,-2455.11, 
2020-02-01T05:00:00Z,OMI,6.32,789,Market On Open,Filled,4986.48, 
2020-02-01T05:00:00Z,RYI,10.37,61,Market On Open,Filled,632.57, 
2020-02-01T05:00:00Z,UNFI,7.2,117,Market On Open,Filled,842.4, 
2020-02-01T05:00:00Z,FOSL,6.71,734,Market On Open,Filled,4925.14, 
2020-02-01T05:00:00Z,CONN,8.79,162,Market On Open,Filled,1423.98, 
2020-03-02T09:01:00Z,BZH,12.95,-352,Market On Open,Filled,-4558.4,Liquidated 
2020-03-02T09:01:00Z,CLNY,4.29,-1051,Market On Open,Filled,-4508.79,Liquidated 
2020-03-02T09:01:00Z,CONN,8.07,-564,Market On Open,Filled,-4551.48,Liquidated 
2020-03-02T09:01:00Z,RYI,8.31,-482,Market On Open,Filled,-4005.42,Liquidated 
2020-03-02T09:01:00Z,UNFI,6.01,-686,Market On Open,Filled,-4122.86,Liquidated 
2020-03-02T09:01:00Z,FOSL,4.35,-734,Market On Open,Filled,-3192.9,Liquidated 
2020-03-02T09:01:00Z,IVZ,14.69,327,Market On Open,Filled,4803.63, 
2020-03-02T09:01:00Z,TOL,38.76,16,Market On Open,Filled,620.16, 
2020-03-02T09:01:00Z,ADS,85.63,6,Market On Open,Filled,513.78, 
2020-03-02T09:01:00Z,PRAA,38.69,121,Market On Open,Filled,4681.49, 
2020-03-02T09:01:00Z,CLNC,13.17,-27,Market On Open,Filled,-355.59, 
2020-03-02T09:01:00Z,COOP,13.37,-31,Market On Open,Filled,-414.47, 
2020-03-02T09:01:00Z,CCS,34.72,-25,Market On Open,Filled,-868, 
2020-03-02T09:01:00Z,MHO,38.51,126,Market On Open,Filled,4852.26, 
2020-03-02T09:01:00Z,IHRT,15.13,312,Market On Open,Filled,4720.56, 
2020-03-02T09:01:00Z,TPC,15.02,-114,Market On Open,Filled,-1712.28, 
2020-03-02T09:01:00Z,CLS,6.4,746,Market On Open,Filled,4774.4, 
2020-03-02T09:01:00Z,ENVA,19.35,245,Market On Open,Filled,4740.75, 
2020-03-02T09:01:00Z,CYH,4.89,-195,Market On Open,Filled,-953.55, 
2020-03-02T09:01:00Z,VHI,1.33,415,Market On Open,Filled,551.95, 
2020-03-02T09:01:00Z,OMI,7.19,-99,Market On Open,Filled,-711.81, 
2020-04-01T04:00:00Z,CCS,13.71,-141,Market On Open,Filled,-1933.11,Liquidated 
2020-04-01T04:00:00Z,CLNC,3.63,-370,Market On Open,Filled,-1343.1,Liquidated 
2020-04-01T04:00:00Z,COOP,6.86,-367,Market On Open,Filled,-2517.62,Liquidated 
2020-04-01T04:00:00Z,CYD,10.46,-374,Market On Open,Filled,-3912.04,Liquidated 
2020-04-01T04:00:00Z,CYH,3.1,-957,Market On Open,Filled,-2966.7,Liquidated 
2020-04-01T04:00:00Z,FPH,4.84,-609,Market On Open,Filled,-2947.56,Liquidated 
2020-04-01T04:00:00Z,CLS,3.35,-746,Market On Open,Filled,-2499.1,Liquidated 
2020-04-01T04:00:00Z,TPC,6.48,-325,Market On Open,Filled,-2106,Liquidated 
2020-04-01T04:00:00Z,VHI,0.9801,-3394,Market On Open,Filled,-3326.4594,Liquidated 
2020-04-01T04:00:00Z,MHO,15.71,-126,Market On Open,Filled,-1979.46,Liquidated 
2020-04-01T04:00:00Z,PRAA,26.62,-121,Market On Open,Filled,-3221.02,Liquidated 
2020-04-01T04:00:00Z,IVZ,8.51,-327,Market On Open,Filled,-2782.77,Liquidated 
2020-04-01T04:00:00Z,ENVA,13.52,-245,Market On Open,Filled,-3312.4,Liquidated 
2020-04-01T04:00:00Z,IHRT,6.67,-312,Market On Open,Filled,-2081.04,Liquidated 
2020-04-01T04:00:00Z,OMI,8.25,-690,Market On Open,Filled,-5692.5,Liquidated 
2020-04-01T04:00:00Z,LEN,36.33,77,Market On Open,Filled,2797.41, 
2020-04-01T04:00:00Z,PHM,20.89,132,Market On Open,Filled,2757.48, 
2020-04-01T04:00:00Z,JEF,12.91,217,Market On Open,Filled,2801.47, 
2020-04-01T04:00:00Z,AVT,24.12,118,Market On Open,Filled,2846.16, 
2020-04-01T04:00:00Z,TOL,18.19,27,Market On Open,Filled,491.13, 
2020-04-01T04:00:00Z,KBH,16.95,163,Market On Open,Filled,2762.85, 
2020-04-01T04:00:00Z,ADS,31.74,34,Market On Open,Filled,1079.16, 
2020-04-01T04:00:00Z,MDC,21.83,127,Market On Open,Filled,2772.41, 
2020-04-01T04:00:00Z,TMHC,10.29,269,Market On Open,Filled,2768.01, 
2020-04-01T04:00:00Z,MTH,34.25,81,Market On Open,Filled,2774.25, 
2020-04-01T04:00:00Z,TPH,8.22,34,Market On Open,Filled,279.48, 
2020-04-01T04:00:00Z,TWO,3.61,771,Market On Open,Filled,2783.31, 
2020-04-01T04:00:00Z,FLR,6.71,429,Market On Open,Filled,2878.59, 
2020-04-01T04:00:00Z,WCC,21.08,129,Market On Open,Filled,2719.32, 
2020-04-01T04:00:00Z,PBF,6.65,419,Market On Open,Filled,2786.35, 
2020-04-01T04:00:00Z,CLNY,1.63,1695,Market On Open,Filled,2762.85, 
2020-04-01T04:00:00Z,TROX,4.98,595,Market On Open,Filled,2963.1, 
2020-04-01T04:00:00Z,RIG,1.15,2557,Market On Open,Filled,2940.55, 
2020-04-01T04:00:00Z,INTL,35.07,-21,Market On Open,Filled,-736.47, 
2020-05-01T04:00:00Z,MDC,28.18,-127,Market On Open,Filled,-3578.86,Liquidated 
2020-05-01T04:00:00Z,AVT,29.49,-118,Market On Open,Filled,-3479.82,Liquidated 
2020-05-01T04:00:00Z,LEN,48.37,-77,Market On Open,Filled,-3724.49,Liquidated 
2020-05-01T04:00:00Z,JEF,13.39,-217,Market On Open,Filled,-2905.63,Liquidated 
2020-05-01T04:00:00Z,MTH,49.78,-81,Market On Open,Filled,-4032.18,Liquidated 
2020-05-01T04:00:00Z,FLR,11,-429,Market On Open,Filled,-4719,Liquidated 
2020-05-01T04:00:00Z,PBF,10.7,-419,Market On Open,Filled,-4483.3,Liquidated 
2020-05-01T04:00:00Z,PHM,27.41,-132,Market On Open,Filled,-3618.12,Liquidated 
2020-05-01T04:00:00Z,TROX,6.65,-595,Market On Open,Filled,-3956.75,Liquidated 
2020-05-01T04:00:00Z,CNHI,6.13,87,Market On Open,Filled,533.31, 
2020-05-01T04:00:00Z,ADS,47.76,-12,Market On Open,Filled,-573.12, 
2020-05-01T04:00:00Z,KBH,25.13,-18,Market On Open,Filled,-452.34, 
2020-05-01T04:00:00Z,TWO,4.4,64,Market On Open,Filled,281.6, 
2020-05-01T04:00:00Z,WCC,25.81,18,Market On Open,Filled,464.58, 
2020-05-01T04:00:00Z,ATI,7.14,508,Market On Open,Filled,3627.12, 
2020-05-01T04:00:00Z,RIG,1.22,451,Market On Open,Filled,550.22, 
2020-05-01T04:00:00Z,INTL,38.2667,14,Market On Open,Filled,535.7338, 
2020-05-01T04:00:00Z,MHO,24.19,150,Market On Open,Filled,3628.5, 
2020-05-01T04:00:00Z,CCS,20.23,178,Market On Open,Filled,3600.94, 
2020-05-01T04:00:00Z,CLS,6.04,613,Market On Open,Filled,3702.52, 
2020-05-01T04:00:00Z,CLNC,4.66,794,Market On Open,Filled,3700.04, 
2020-05-01T04:00:00Z,UNFI,10.58,359,Market On Open,Filled,3798.22, 
2020-05-01T04:00:00Z,SIG,9.66,379,Market On Open,Filled,3661.14, 
2020-05-01T04:00:00Z,CYD,12.2,309,Market On Open,Filled,3769.8, 
2020-05-01T04:00:00Z,AXL,4.1,884,Market On Open,Filled,3624.4, 
2020-06-01T08:01:00Z,CLS,6.84,-613,Market On Open,Filled,-4192.92,Liquidated 
2020-06-01T08:01:00Z,INTL,50.15,-95,Market On Open,Filled,-4764.25,Liquidated 
2020-06-01T08:01:00Z,AXL,7.7,-884,Market On Open,Filled,-6806.8,Liquidated 
2020-06-01T08:01:00Z,KBH,34.29,-145,Market On Open,Filled,-4972.05,Liquidated 
2020-06-01T08:01:00Z,UNFI,22.46,-359,Market On Open,Filled,-8063.14,Liquidated 
2020-06-01T08:01:00Z,ATI,9.31,-508,Market On Open,Filled,-4729.48,Liquidated 
2020-06-01T08:01:00Z,WCC,34.94,-147,Market On Open,Filled,-5136.18,Liquidated 
2020-06-01T08:01:00Z,CNHI,6.7,133,Market On Open,Filled,891.1, 
2020-06-01T08:01:00Z,HE,39.08,116,Market On Open,Filled,4533.28, 
2020-06-01T08:01:00Z,TOL,32.49,-13,Market On Open,Filled,-422.37, 
2020-06-01T08:01:00Z,TMHC,20.1,-32,Market On Open,Filled,-643.2, 
2020-06-01T08:01:00Z,ADS,51.01,22,Market On Open,Filled,1122.22, 
2020-06-01T08:01:00Z,TPH,14.62,-18,Market On Open,Filled,-263.16, 
2020-06-01T08:01:00Z,WD,41.8,113,Market On Open,Filled,4723.4, 
2020-06-01T08:01:00Z,TWO,4.9,179,Market On Open,Filled,877.1, 
2020-06-01T08:01:00Z,CCS,30.29,-23,Market On Open,Filled,-696.67, 
2020-06-01T08:01:00Z,CLNY,2.29,585,Market On Open,Filled,1339.65, 
2020-06-01T08:01:00Z,MHO,34.39,-14,Market On Open,Filled,-481.46, 
2020-06-01T08:01:00Z,RIG,1.39,439,Market On Open,Filled,610.21, 
2020-06-01T08:01:00Z,CLNC,5.28,132,Market On Open,Filled,696.96, 
2020-06-01T08:01:00Z,IHRT,8.58,526,Market On Open,Filled,4513.08, 
2020-06-01T08:01:00Z,SIG,10.91,55,Market On Open,Filled,600.05, 
2020-06-01T08:01:00Z,GRBK,10.84,428,Market On Open,Filled,4639.52, 
2020-06-01T08:01:00Z,TPC,11.39,436,Market On Open,Filled,4966.04, 
2020-06-01T08:01:00Z,CYD,12.62,61,Market On Open,Filled,769.82, 
2020-06-01T08:01:00Z,OMI,7.85,578,Market On Open,Filled,4537.3, 
2020-06-01T08:01:00Z,GIII,11.52,443,Market On Open,Filled,5103.36, 
2020-07-01T04:00:00Z,CYD,14.37,-370,Market On Open,Filled,-5316.9,Liquidated 
2020-07-01T04:00:00Z,GRBK,11.87,-428,Market On Open,Filled,-5080.36,Liquidated 
2020-07-01T04:00:00Z,WD,50.83,-113,Market On Open,Filled,-5743.79,Liquidated 
2020-07-01T04:00:00Z,TOL,32.32,15,Market On Open,Filled,484.8, 
2020-07-01T04:00:00Z,HE,36,25,Market On Open,Filled,900, 
2020-07-01T04:00:00Z,TMHC,19.35,27,Market On Open,Filled,522.45, 
2020-07-01T04:00:00Z,BBU,30.89,165,Market On Open,Filled,5096.85, 
2020-07-01T04:00:00Z,ADS,45.37,15,Market On Open,Filled,680.55, 
2020-07-01T04:00:00Z,TPH,14.7,27,Market On Open,Filled,396.9, 
2020-07-01T04:00:00Z,CLNY,2.45,-151,Market On Open,Filled,-369.95, 
2020-07-01T04:00:00Z,RIG,1.86,-655,Market On Open,Filled,-1218.3, 
2020-07-01T04:00:00Z,CCS,30.8,11,Market On Open,Filled,338.8, 
2020-07-01T04:00:00Z,MHO,34.37,12,Market On Open,Filled,412.44, 
2020-07-01T04:00:00Z,CLNC,7.03,-199,Market On Open,Filled,-1398.97, 
2020-07-01T04:00:00Z,GIII,13.39,-59,Market On Open,Filled,-790.01, 
2020-07-01T04:00:00Z,IHRT,8,85,Market On Open,Filled,680, 
2020-07-01T04:00:00Z,SIG,10.25,63,Market On Open,Filled,645.75, 
2020-07-01T04:00:00Z,OMI,7.62,92,Market On Open,Filled,701.04, 
